,address,description,lat,lng,title
11,"973 Rte 9, Queensbury, NY 12804, USA","<a href=""tel:518-932-5867"">518-932-5867</a><br>",43.339896,-73.68165,Legendary Auto Salon Powered by Ceramic Pro
12,"164 E Montauk Hwy, Lindenhurst, NY 11757","<a href=""tel:631-662-6996"">631-662-6996</a><br>",40.680576,-73.359907,High Expectations Valet Auto Spa Powered by Ceramic Pro
13,"527 S. Fulton Ave. , , Mount Vernon, NY, 10550","<a href=""tel:914-664-1620"">914-664-1620</a><br>",40.899691,-73.826077,Mancuso Auto Body Powered by Ceramic Pro
14,"9071 Oswego Rd, Baldwinsville, NY 13027, USA","<p>I am a Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/ freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.911925,-72.651389,Kevin Shaver
15,"621 WEST 46TH STREET, GROUND FLOOR, New York, NY, 10036",<a>212-255-8939</a><br>,40.7640706,-73.9975569,Auto Craft NYC Powered by Ceramic Pro
16,"863 New York 109, West Babylon, NY 11704, USA","<p><a href=""tel:631-226-4300"">631-226-4300</a></p>",40.7152117,-73.3872403,Chuck Fox
17,"7255 Worth Rd Bath, NY 14810","<a href=""tel:607-776-7777"">607-776-7777</a><br>",42.314069,-77.279006,Goodrich Auto Works Powered by Ceramic Pro
18,"556 Northern Blvd, Great Neck, NY 11021, USA","<a href=""tel:718-353-2830"">718-353-2830</a><br>",40.781236,-73.717966,Tintmax Powered by Ceramic Pro
19,"324 Quaker Rd, Queensbury, NY, USA","<a href=""tel:518-791-1845"">518-791-1845</a><br>",43.330962,-73.644331,Precision Detailing and Ceramic Pro installers Powered by Ceramic Pro
20,65 Coleman Ave. Patchogue NY 1172,"<a href=""tel:757-947-8285"">757-947-8285</a><br>",40.789334,-73.028744,Long Island Detail Center Powered by Ceramic Pro
21,"16 5th Avenue, Newburgh, NY 12550, USA","<p>I am a Ceramic Pro Installer.<br />To get a free Ceramic Pro quote<br />for your vehicle, <a href=""https://ceramicpro.com/freequote/"" target=""_blank"" rel=""noopener"">Click Here</a>.<br />To send us an email, <a href=""https://ceramicpro.com/contact/"" target=""_blank"" rel=""noopener"">Contact Us</a></p>",41.5161789,-74.0493589,Robert Brehaut
22,"1573 63rd Street, Brooklyn, NY 11219, USA","<a href=""tel:347-374-5933"">347-374-5933</a><br>",40.6235203,-73.9939531,63 Auto Spa Powered by Ceramic Pro
23,"110 Jericho Turnpike, New Hyde Park, New York 11040, USA","<p><a href=""tel:646-335-8555"">646-335-8555</a></p>",40.7307041,-73.69270829999999,Idea First Automotive INC Powered by Ceramic Pro
24,"6267 East Taft Rd North Syracuse, NY 13212","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.12728,-76.086883,Rocco Cannata
25,"477 Bernard St East Meadow, NY 11554","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.712023,-73.557854,Rick Seale
26,"186-01 73rd Avenue Fresh Meadows, NY 11365","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.732894,-73.784773,Jose Bonilla
27,"9 Crabapple Lane Middletown, NY 10941","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.484281,-74.369407,Dex Ornella
28,"108 Glen Cove Ave #3 Glen Cove, NY 11542","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.857939,-73.635509,Andy Kentrotas
29,"255 E Second St Mineola, NY 11501","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.744611,-73.625339,Evan Ioannides
30,"3 Cara Ct Deer Park NY, 11729","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.753336,-73.319705,Ferdeen Afsari
31,"7309 88th St Glendale, NY 11385","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.708704,-73.863341,Francesco Millocca
32,"223 Scherer Blvd, Franklin Square, NY 11010","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.701916,-73.680541,Jeffery Aulicino
33,"50-24 214th St Bayside Hills, NY 11364","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.753051,-73.766313,John Karalekas
34,"4231 Arthur Kill RD Unit B Staten Island, NY 10309","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.539092,-74.237835,Joseph Barone (new location)
35,"9 Chestnut St Thornwood, NY 10594","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.123068,-73.78213,Josh Salhi
36,"68 Lamar St Unit C West Babylon, NY 11704","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.737063,-73.37876,Kenia Baneges
37,"95-20 98th St Ozone Park, NY 11416","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.687169,-73.844543,Michael Casillo
38,"20 Lonni Lane Smithtown, NY 11787","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.863463,-73.223137,Nicholas Frank
39,"581 N. State Rd Briar Cliff, NY 10510","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.171017,-73.816994,Ray Santucci
40,"355 65th St Brooklyn, NY 11220","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.638403,-74.022026,Kenneth Li
41,34-19 38th St  L.I.C NY 11101,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.756446,-73.922159,Edwin Huerta
42,15 Stewart Place Suite 1c  White Plains NY 10603,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.037891,-73.763604,Dexter Cokely
43,183 Hot Water St.  Manorville NY 11949,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.860604,-72.780673,Carl Stumpf
44,14305 45th ave  flushing ny 11355,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.753942,-73.818224,yong yang
45,254 Orchid Dr  Mastic Beach NY 11951,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.775987,-72.840396,Anthony Matias
46,272 Ballston Ave  Scotia NY 12302,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.833448,-73.955569,Scott Plemenik
47,"967 Wellwood Ave Lindenhurst, NY 11757","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.714621,-73.392682,Seth Rosenberg
48,"30 Reith St , Copiague, NY, 11726","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.692526,-73.400777,Christopher Defeo
49,"63 Central Ave , Lancaster, NY, 14086","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.902786,-78.670386,Art Lazazzero
50,"197 Robinson Lane , Wappingers Falls, NY, 12590","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.61357,-73.823993,Jamal Pollard
51,"2463 Long Beach Rd , Oceanside, NY, 11572","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.647007,-73.638091,Franco Candela
52,"154 Prospect Street, , Greenwich, NY, 6830","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.097843,-73.490284,Brian Lifrieri
53,"509 County Road 39, , South Hampton, NY, 11968","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.896418,-72.416016,Joel Neumann
54,"1955 First Ave New York, NY 10029","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.78636,-73.943192,Jordan Alba
55,"3383 Big Tree Rd., , Hamburg, NY, 14075","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.772806,-78.862174,Brian Handzlik
56,"3010 Jerome Ave, Bronx, NY 10468, USA","<p>I am a Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.839774,-73.920686,Billy Sanchez
57,"95 Marble Ave., , Pleasantville, NY, 10570","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.129795,-73.789635,Anthony Forgione
58,"99 Jericho Tpke., , Mineola, NY, 11501","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.749501,-73.639337,Benjamin Musheyev
59,"807 Hallock Avenue, Port Jefferson Station, NY, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.93262,-73.044286,Mike Ledonne
60,"5 Briar Court, , Rocky Point, NY, 11778","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.95761,-72.95213,Steve
61,"21 2nd Dyke Rd, Averill Park, NY 12018, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.602628,-73.567882,Mirror Image Auto Detailing
62,"11 Holt Drive, , Stony Point , NY, 10980","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.21596,-73.98288,John Lafalgio
63,"684 Sawmill River Road , , Yonkers, NY, 10710","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.95886,-73.8705,Mike Marquez
64,"103 McKinley Ave Endicott, NY 13760","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.1025081,-76.044307,Timothy Wright Jr.
65,"39 Route 9W, Haverstraw, NY 10927, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.1946174,-73.9698254,Gregg Seiedner
66,"27 St Charles St, Thornwood, NY 10594, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.124824,-73.781421,John Miridita
67,"3903 8th Ave, Brooklyn, NY 11232, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.64683,-73.997396,Abad Rios
68,"8 Hunt Ave Hudson Falls, NY 12839","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.2886491,-73.583866,Dylan Fenton
69,"1425 Montauk Highway, , Mastic, NY, 11950","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.8053214,-72.8484785,Michael Powell
70,"269 Butter ln, , Bridgehampton , NY, 11932","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.9420539,-72.3088467,David Sant
71,"199 Vernon Ave, Yonkers, NY 10704, United States","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.920039,-73.852899,Luis Rodriguez
72,"223 Scherer Blvd, Franklin Square, NY 11010, USA","<p>I am a Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.7019398,-73.68056899999999,Jeff Aulicino
73,"644 Middle Country Rd, 13, St. James, NY, 11780","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.049929,-74.702355,Brian Ward
74,"27 St Charles St Thornwood, NY 10594","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.1248242,-73.7814211,John Miridita
75,"223 Benjamin Blvd Yorktown Heights, NY 10598","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.2910967,-73.7840007,Gregory Arlia
76,"38 Raynor Ave Ronkonkona, NY 11967","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.7997979,-73.1142145,James Porcelli
77,"40 Washington St Greenwich, NY 12834","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.086792,-73.500815,Christopher Conley
78,"246 South Main St New City, NY 10956","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.1394658,-73.9900725,Jose Fernandez
79,"146 Voss Ave Yonkers, NY 10703","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.9475006,-73.8853899,Luis Perez
80,"934 Railroad Ave Woodmere, NY 11593","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.633182,-73.7115365,Carlos Thomas
81,"1470 Old Country Rd Plainview, NY 11803","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.7797955,-73.4530782,Andrew Hoffman
82,"89 Mineola Ave, Point Lookout, NY, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.589756,-73.577839,Christopher Lopez
83,"12155 Main Rd, Mattituck, NY 11952, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.989632,-72.534284,Junior Miranda
84,"14 Haven St, Elmsford, NY 10523, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.059465,-73.817576,Sal Birittieri
85,"96 New York 311, Carmel, New York 10512, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.469083,-73.658473,Sabrina Cruz
86,"186 Burch Hill Rd, Horseheads, NY 14845, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.252702,-76.82369,Zachry Ramsey
87,"828 Harding Avenue, North Tonawanda, NY 14120, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.048789,-78.861277,Brett Robbins
88,"49 E Industry Ct, Deer Park, NY 11729, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.762369,-73.29653,Brandon Soedarmasto
89,"19304 Horace Harding Expressway APT 2B, Fresh Meadows, NY 11365, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.741339,-73.782913,Sameer Jura
90,"76-11 88th St, Ridgewood, NY 11385, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.707012,-73.861203,Jayro Guerrero
91,"624 Stark Terrace, Ballston Spa, NY 12020, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.06081,-73.863753,Colin Fenton
92,"16 Munson St, Port Washington, NY 11050, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.827061,-73.685144,Jerry Roestenberg
93,"981 Old Country Rd, Westbury, NY 11590, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.7548519,-73.5598269,Ahmad Naderi
94,"152 Smith Street, Port Chester, NY 10573, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.9977644,-73.6704294,Bryan Flores
95,"292 White Plains Rd, Eastchester, NY 10709, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.9492967,-73.8177141,Cesar Jimenez
96,"80 Wisner Ave, Middletown, NY 10940, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.4566198,-74.4115017,John Vivaldo
97,"6050 New York 22, Millerton, NY, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.9630526,-73.5217708,Dan Martucci
98,"590 Washington St, Sparkill, NY 10976, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.0278644,-73.9295756,Justin Verrino
99,"276 W Main St, Fredonia, NY 14063, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.4322232,-79.3401529,Mike Plaza
100,"468 Route 17M, Middletown, New York 10940, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.4235157,-74.4280748,Jose Falcon
101,"1 Wiley Way, Corinth, NY 12822, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",43.2345991,-73.829845,Jeffrey Bailey
102,"893 Center Rd, West Seneca, NY 14224, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.8382829,-78.7497269,Devin Reynolds
103,"3599 Southwestern Blvd, Orchard Park, NY 14127, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.7830358,-78.765883,Christopher Wood
104,"14 Carey Place, Port Washington, NY 11050, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.8425815,-73.6944785,Sam Cho
105,"5 Lucky Lane Road, Windham, NY, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",42.313618,-74.2058714,Caitlin Taylor
106,35 Cornell ave		Staten Island	NY	10310,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.6308726,-74.1258426,Harold White
107,468 route 17m	suite 4	Middletown	NY	10940,"I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.4235157,-74.4280748,Jose Falcon
108,"2081 Richmond Rd, Staten Island, NY 10306, United States","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.5819889,-74.1114935,Al-Abas Kaid
109,"19 Old Nyack Turnpike, Nanuet, NY 10954, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.1005889,-74.0267884,Danny Derasmo
110,"1 Durant Rd, New City, NY 10956, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.1351565,-73.988742,Justin Niedelman
111,"1 Durant Rd, New City, NY 10956, USA","I am a Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",41.1351565,-73.988742,Justin Niedelman
112,"182 Justin Ave Staten Island, NY 10306","I am a Ceramic Pro Marine Installer.<br> <a href=""https://ceramicpro.com/marine-free-quote/"" target=""_blank""><strong>Tap to get a free Ceramic Pro quote for your vessel.</strong></a>",40.554156,-74.13304,Joseph Barone
113,5 Pine Cone Ln  commack NY 11725,"I am a Ceramic Pro Marine Installer.<br> <a href=""https://ceramicpro.com/marine-free-quote/"" target=""_blank""><strong>Tap to get a free Ceramic Pro quote for your vessel.</strong></a>",40.831998,-73.264245,George Scocca
114,"46 Beaver Lane, , West Babylon, NY, 11704","I am a Factory Trained Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.71289,-73.367657,Robert Santiago
115,"644 Middle Country Rd, 13, St. James, NY, 11780","I am a Factory Trained Ceramic Pro Installer.<br> <a href=""https://ceramicpro.com/freequote/"" target=""_blank""><strong>Tap here for a free quote.</strong></a>",40.8591,-73.155899,Jim Cason
116,"9520 98th St, Queens, Ozone Park, NY 11416, USA","<p>I am a Factory Trained Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.687169,-73.844543,James Marotta
117,"136 Richmond St, Brooklyn, NY 11208 USA","<p>I am a Ceramic Pro Installer.<br /><a href=""https://ceramicpro.com/freequote/"" target=""_blank"" rel=""noopener""><strong>Tap here for a free quote.</strong></a></p>",40.6840277,-73.877443,Peter Cordero
